Umsatz (ohne Soll/Haben-Kz);Soll/Haben-Kennzeichen;WKZ Umsatz;Kurs;Basis-Umsatz;WKZ Basis-Umsatz;Konto;Gegenkonto (ohne BU-Schlüssel);BU-Schlüssel;Belegdatum;Belegfeld 1;Belegfeld 2;Skonto;Buchungstext;Postensperre;Diverse Adressnummer;Geschäftspartnerbank;Sachverhalt;Zinssperre;Beleglink;Beleginfo - Art 1;Beleginfo - Inhalt 1;Beleginfo - Art 2;Beleginfo - Inhalt 2;Beleginfo - Art 3;Beleginfo - Inhalt 3;Beleginfo - Art 4;Beleginfo - Inhalt 4;Beleginfo - Art 5;Beleginfo - Inhalt 5;Beleginfo - Art 6;Beleginfo - Inhalt 6;Beleginfo - Art 7;Beleginfo - Inhalt 7;Beleginfo - Art 8;Beleginfo - Inhalt 8;KOST1 - Kostenstelle;KOST2 - Kostenstelle;Kost-Menge;EU-Land u. UStID;EU-Steuersatz;Abw. Versteuerungsart;Sachverhalt L+L;Funktionsergänzung L+L;BU 49 Hauptfunktionstyp;BU 49 Hauptfunktionsnummer;BU 49 Funktionsergänzung;Zusatzinformation - Art 1;Zusatzinformation- Inhalt 1;Zusatzinformation - Art 2;Zusatzinformation- Inhalt 2;Zusatzinformation - Art 3;Zusatzinformation- Inhalt 3;Zusatzinformation - Art 4;Zusatzinformation- Inhalt 4;Zusatzinformation - Art 5;Zusatzinformation- Inhalt 5;Zusatzinformation - Art 6;Zusatzinformation- Inhalt 6;Zusatzinformation - Art 7;Zusatzinformation- Inhalt 7;Zusatzinformation - Art 8;Zusatzinformation- Inhalt 8;Zusatzinformation - Art 9;Zusatzinformation- Inhalt 9;Zusatzinformation - Art 10;Zusatzinformation- Inhalt 10;Zusatzinformation - Art 11;Zusatzinformation- Inhalt 11;Zusatzinformation - Art 12;Zusatzinformation- Inhalt 12;Zusatzinformation - Art 13;Zusatzinformation- Inhalt 13;Zusatzinformation - Art 14;Zusatzinformation- Inhalt 14;Zusatzinformation - Art 15;Zusatzinformation- Inhalt 15;Zusatzinformation - Art 16;Zusatzinformation- Inhalt 16;Zusatzinformation - Art 17;Zusatzinformation- Inhalt 17;Zusatzinformation - Art 18;Zusatzinformation- Inhalt 18;Zusatzinformation - Art 19;Zusatzinformation- Inhalt 19;Zusatzinformation - Art 20;Zusatzinformation- Inhalt 20;Stück;Gewicht;Zahlweise;Forderungsart;Veranlagungsjahr;Zugeordnete Fälligkeit;Skontotyp;Auftragsnummer;Buchungstyp;Ust-Schlüssel (Anzahlungen);EU-Land (Anzahlungen);Sachverhalt L+L (Anzahlungen);EU-Steuersatz (Anzahlungen);Erlöskonto (Anzahlungen);Herkunft-Kz;Buchungs GUID;KOST-Datum;Mandatsreferenz;Skontosperre;Gesellschaftername;Beteiligtennummer;Identifikationsnummer;Zeichnernummer;Postensperre bis;BezeichnungSoBil-Sachverhalt;KennzeichenSoBil-Buchung;Festschreibung;Leistungsdatum;Datum Zuord. Steuerperiode;Netto;Umsatzsteuer;Leistungsdatum
5,00;"S";"";;;"";10002;4970;"";3112;"19-12-aktivitiaetsbonus";;;"Aktivittsbonus";;"";;;;;"Beschreibung";"Fidor Bank AG";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"5,00";"Steuerbetrag";"0,00";"Leistungsdatum";"31122019";"Kundennummer";"1024";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31122019;;;;;;;;;;0;31122019;31122019;;;;
1113,75;"S";"";;;"";10003;1360;"";2312;"231219Rckbuchung";;;"Gutschrift Marc Hoffl IBAN DE81100110012625576896 BIC NTSBDE";;"";;;;;"Beschreibung";"Absender Marc Hoffl IBAN DE81100110012625576896 BIC NTSBDEB1XXX";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"1113,75";"Steuerbetrag";"0,00";"Leistungsdatum";"23122019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23122019;;;;;;;;;;0;23122019;23122019;;;;
78,58;"S";"";;;"";10004;1780;"";1312;"131219Umsatzsteuer";;;"Gutschrift Finanzamt Weinheim Finanzkasse IBAN DE72660000000";;"";;;;;"Beschreibung";"Finanzamt Weinheim";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"78,58";"Steuerbetrag";"0,00";"Leistungsdatum";"13122019";"Kundennummer";"1019";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13122019;;;;;;;;;;0;13122019;13122019;;;;
1614,54;"S";"";;;"";10005;1360;"";1212;"1212-umbuchung";;;"Gutschrift Strego Ventures UG IBAN DE93700111104003605006 BI";;"";;;;;"Beschreibung";"Absender Strego Ventures UG IBAN DE93700111104003605006 BIC DEKTDE7GXXX";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"1614,54";"Steuerbetrag";"0,00";"Leistungsdatum";"12122019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12122019;;;;;;;;;;0;12122019;12122019;;;;
2692,35;"S";"";;;"";10006;1360;"";2908;"umbuchung-1";;;"Umbuchung";;"";;;;;"Beschreibung";"Strego Ventures UG";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"2692,35";"Steuerbetrag";"0,00";"Leistungsdatum";"29082019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29082019;;;;;;;;;;0;29082019;29082019;;;;
0,24;"S";"";;;"";10007;8200;"";1804;"google-18042019";;;"Gutschrift Google Ireland Limited IBAN IE64CITI9900512441702";;"";;;;;"Beschreibung";"Absender Google Ireland Limited IBAN IE64CITI99005124417026 BIC CITIIE2X";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"0,24";"Steuerbetrag";"0,00";"Leistungsdatum";"18042019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18042019;;;;;;;;;;0;18042019;18042019;;;;
0,84;"S";"";;;"";10007;8200;"";1302;"13022019-google";;;"Gutschrift Google Ireland Limited IBAN IE64CITI9900512441702";;"";;;;;"Beschreibung";"Absender Google Ireland Limited IBAN IE64CITI99005124417026 BIC CITIIE2X";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"0,84";"Steuerbetrag";"0,00";"Leistungsdatum";"13022019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13022019;;;;;;;;;;0;13022019;13022019;;;;
1000,00;"S";"";;;"";10003;800;"";2801;"stamm-280119";;;"Gutschrift Marc Hoffl IBAN DE81100110012625576896 BIC NTSBDE";;"";;;;;"Beschreibung";"Absender Marc Hoffl IBAN DE81100110012625576896 BIC NTSBDEB1XXX";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"1000,00";"Steuerbetrag";"0,00";"Leistungsdatum";"28012019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28012019;;;;;;;;;;0;28012019;28012019;;;;
245,74;"H";"";;;"";8338;10000;"";1812;"IN-19-1043";;;"";;"";;;;BEDI ""a0ce3c9e-ac57-5135-9b2d-1e9f509880c2"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"221,60";"Steuerbetrag";"24,00";"Leistungsdatum";"18122019 - 18122019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19122019;;;;;;;;;;0;;;;;;
24,14;"S";"";;;"";10000;8000;"";1812;"IN-19-1043";;;"";;"";;;;BEDI ""a0ce3c9e-ac57-5135-9b2d-1e9f509880c2"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"18122019 - 18122019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19122019;;;;;;;;;;0;;;;;;
